Source,Target
Veronica Macedo,Polyana Viana
Kazula Vargas,Alex Da Silva
Joaquim Silva,Nasrat Haqparast
Scott Holtzman,Dong Hyun Ma
Darko Stosic,Kennedy Nzechukwu
Antonina Shevchenko,Lucie Pudilova
Colby Covington,Robbie Lawler
Jim Miller,Clay Guida
Trevin Giles,Gerald Meerschaert
Miranda Granger,Hannah Goldy
Jordan Espinosa,Matt Schnell
Lauren Murphy,Mara Romero Borella
Claudio Silva,Cole Williams
Mickey Gall,Salim Touahri
Gavin Tucker,SeungWoo Choi
Geoff Neal,Niko Price
Hakeem Dawodu,Yoshinori Horie
Marc-Andre Barriault,Krzysztof Jotko
Cristiane Justino,Felicia Spencer
Olivier Aubin-Mercier,Arman Tsarukyan
Alexis Davis,Viviane Araujo
Max Holloway,Frankie Edgar
Alexandre Pantoja,Deiveson Figueiredo
Gillian Robertson,Sarah Frota
Erik Koch,Kyle Stewart
Raquel Pennington,Irene Aldana
Rafael Dos Anjos,Leon Edwards
Alex Caceres,Steven Peterson
Alexander Hernandez,Francisco Trinaldo
James Vick,Dan Hooker
Aleksei Oleinik,Walt Harris
Andrei Arlovski,Ben Rothwell
Greg Hardy,Juan Adams
Roxanne Modafferi,Jennifer Maia
Sam Alvey,Klidson Abreu
Domingo Pilarte,Felipe Colares
Ray Borg,Gabriel Silva
Mario Bautista,Jin Soo Son
Andre Fili,Sheymon Moraes
Marvin Vettori,Cezar Ferreira
Josh Emmett,Mirsad Bektic
Julianna Pena,Nicco Montano
Mike Rodriguez,John Allan
Urijah Faber,Ricky Simon
Germaine de Randamie,Aspen Ladd
Karl Roberson,Wellington Turman
Pingyuan Liu,Jonathan Martinez
Benito Lopez,Vince Morales
Livinha Souza,Brianna Van Buren
Darren Elkins,Ryan Hall
Jorge Masvidal,Ben Askren
Marlon Vera,Nohelin Hernandez
Amanda Nunes,Holly Holm
Diego Sanchez,Michael Chiesa
Jon Jones,Thiago Santos
Gilbert Melendez,Arnold Allen
Claudia Gadelha,Randa Markos
Jan Blachowicz,Luke Rockhold
Edmen Shahbazyan,Jack Marshman
Alejandro Perez,Song Yadong
Ismail Naurdiev,Chance Rencountre
Julia Avila,Pannie Kianzad
Eryk Anders,Vinicius Moreira
Jussier Formiga,Joseph Benavidez
Roosevelt Roberts,Vinc Pichel
Francis Ngannou,Junior Dos Santos
Alonzo Menifield,Paul Craig
Drew Dober,Marco Polo Reyes
Demian Maia,Anthony Rocco Martin
Ricardo Ramos,Journey Newson
Emily Whitmire,Amanda Ribas
Dalcha Lungiambula,Dequan Townsend
Maurice Greene,Junior Albini
Jared Gordon,Dan Moret
Kevin Holland,Alessio Di Chirico
Ashley Yoder,Syuri Kondo
Matt Wiman,Luis Pena
Andrea Lee,Montana De La Rosa
Renato Moicano,Chan Sung Jung
Bryan Barberena,Randy Brown
Dan Ige,Kevin Aguilar
Andre Ewell,Anderson Dos Santos
Allen Crowder,Jairzinho Rozenstruik
Ariane Lipski,Molly McCann
Deron Winn,Eric Spicely
Aljamain Sterling,Pedro Munhoz
Tatiana Suarez,Nina Ansaroff
Tai Tuivasa,Blagoy Ivanov
Valentina Shevchenko,Jessica Eye
Jimmie Rivera,Petr Yan
Tony Ferguson,Donald Cerrone
Karolina Kowalkiewicz,Alexa Grasso
Henry Cejudo,Marlon Moraes
Yan Xiaonan,Angela Hill
Katlyn Chookagian,Joanne Calderwood
Bevon Lewis,Darren Stewart
Ricardo Lamas,Calvin Kattar
Eddie Wineland,Grigory Popov
Stevie Ray,Leonardo Santos
Tonya Evinger,Lina Lansberg
Damir Hadzovic,Christos Giagos
Makwan Amirkhani,Chris Fishgold
Alexander Gustafsson,Anthony Smith
Daniel Teymur,Sung Bin Jo
Rostem Akman,Sergey Khandozhko
Jimi Manuwa,Aleksandar Rakic
Darko Stosic,Devin Clark
Joel Alvarez,Danilo Belluardo
Nick Hein,Frank Camacho
Bea Malecki,Duda Santana
Davi Ramos,Austin Hubbard
Vicente Luque,Derrick Krantz
Rafael Dos Anjos,Kevin Lee
Aspen Ladd,Sijara Eubanks
Desmond Green,Charles Jourdain
Megan Anderson,Felicia Spencer
Antonio Carlos Junior,Ian Heinisch
Charles Oliveira,Nik Lentz
Zak Cummings,Trevin Giles
Michael Trizano,Grant Dawson
Danny Roberts,Michel Pereira
Patrick Cummins,Ed Herman
Julio Arce,Julian Erosa
Irene Aldana,Bethe Correia
Jared Cannonier,Anderson Silva
Rogerio Nogueira,Ryan Spann
Thiago Moises,Kurt Holobaugh
Jose Aldo,Alexander Volkanovski
Thiago Alves,Laureano Staropoli
Warlley Alves,Sergio Moraes
Rose Namajunas,Jessica Andrade
Raoni Barcelos,Carlos Huachin
BJ Penn,Clay Guida
Luana Carolina,Priscila Cachoeira
Talita Bernardo,Viviane Araujo
Walt Harris,Serghei Spivac
Al Iaquinta,Donald Cerrone
Marc-Andre Barriault,Andrew Sanchez
Aiemann Zahabi,Vince Morales
Derek Brunson,Elias Theodorou
Macy Chiasson,Sarah Moras
Cub Swanson,Shane Burgos
Brad Katona,Merab Dvalishvili
Nordine Taleb,Kyle Prepolec
Kyle Nelson,Matt Sayles
Arjan Bhullar,Juan Adams
Mitch Gagnon,Cole Smith
Andrei Arlovski,Augusto Sakai
Glover Teixeira,Ion Cutelaba
Greg Hardy,Dmitrii Smoliakov
John Lineker,Cory Sandhagen
Jacare Souza,Jack Hermansson
Roosevelt Roberts,Thomas Gifford
Ben Saunders,Takashi Sato
Alex Oliveira,Mike Perry
Angela Hill,Jodie Esquibel
Carla Esparza,Virna Jandiroba
Gilbert Burns,Mike Davis
Jim Miller,Jason Gonzalez
Court McGee,Dhiego Lima
Roxanne Modafferi,Antonina Shevchenko
Alexander Yakovlev,Alex Da Silva
Islam Makhachev,Arman Tsarukyan
Krzysztof Jotko,Alen Amedovski
Sergei Pavlovich,Marcelo Golm
Alistair Overeem,Aleksei Oleinik
Movsar Evloev,SeungWoo Choi
Sultan Aliev,Keita Nakamura
Marcin Tybura,Shamil Abdurakhimov
Gadzhimurad Antigulov,Michal Oleksiejczuk
Magomed Mustafaev,Rafael Fiziev
Max Holloway,Dustin Poirier
Max Griffin,Zelim Imadaev
Eryk Anders,Khalil Rountree Jr.
Alan Jouban,Dwight Grant
Jalin Turner,Matt Frevola
Ovince Saint Preux,Nikita Krylov
Kelvin Gastelum,Israel Adesanya
Curtis Millender,Belal Muhammad
Wilson Reis,Alexandre Pantoja
Boston Salmon,Khalid Taha
Montel Jackson,Andre Soukhamthath
Brandon Davis,Randy Costa
Lauren Mueller,Poliana Botelho
Edson Barboza,Justin Gaethje
Kennedy Nzechukwu,Paul Craig
Ross Pearson,Desmond Green
Sodiq Yusuff,Sheymon Moraes
Karolina Kowalkiewicz,Michelle Waterson
Marina Rodriguez,Jessica Aguilar
Josh Emmett,Michael Johnson
David Branch,Jack Hermansson
Ray Borg,Casey Kenney
Enrique Barzola,Kevin Aguilar
Kevin Holland,Gerald Meerschaert
Alex Perez,Mark De La Rosa
Sabina Mazo,Maryna Moroz
Bryce Mitchell,Bobby Moffett
Jussier Formiga,Deiveson Figueiredo
Stephen Thompson,Anthony Pettis
Marlon Vera,Frankie Saenz
Curtis Blaydes,Justin Willis
John Makdessi,Jesus Pinedo
Maycee Barber,JJ Aldrich
Luis Pena,Steven Peterson
Randa Markos,Angela Hill
Eric Shelton,Jordan Espinosa
Alexis Davis,Jennifer Maia
Ryan MacDonald,Chris Gutierrez
Volkan Oezdemir,Dominick Reyes
Jack Marshman,John Phillips
Nathaniel Wood,Jose Quinonez
Marc Diakiese,Joe Duffy
Arnold Allen,Jordan Rinaldi
Danny Roberts,Claudio Silva
Darren Till,Jorge Masvidal
Leon Edwards,Gunnar Nelson
Danny Henry,Dan Ige
Molly McCann,Priscila Cachoeira
Nicolae Negumereanu,Saparbeg Safarov
Mike Grundy,Nad Narimani
Blagoy Ivanov,Ben Rothwell
Elizeu Zaleski dos Santos,Curtis Millender
Derrick Lewis,Junior Dos Santos
Beneil Dariush,Drew Dober
Marion Reneau,Yana Kunitskaya
Tim Boetsch,Omari Akhmedov
Anthony Rocco Martin,Sergio Moraes
Tim Means,Niko Price
Grant Dawson,Julian Erosa
Maurice Greene,Jeff Hughes
Alex White,Dan Moret
Alex Morono,Zak Ottow
Louis Smolka,Matt Schnell
Robbie Lawler,Ben Askren
Tecia Torres,Zhang Weili
Cody Garbrandt,Pedro Munhoz
Jon Jones,Anthony Smith
Jeremy Stephens,Zabit Magomedsharipov
Tyron Woodley,Kamaru Usman
Misha Cirkunov,Johnny Walker
Cody Stamann,Alejandro Perez
Diego Sanchez,Mickey Gall
Gina Mazany,Macy Chiasson
Edmen Shahbazyan,Charles Byrd
Polyana Viana,Hannah Cifers
Daniel Teymur,Chris Fishgold
Dwight Grant,Carlo Pedersoli Jr.
Gian Villante,Michal Oleksiejczuk
Magomed Ankalaev,Klidson Abreu
Liz Carmouche,Lucie Pudilova
Jan Blachowicz,Thiago Santos
John Dodson,Petr Yan
Stefan Struve,Marcos Rogerio de Lima
Damir Hadzovic,Marco Polo Reyes
Veronica Macedo,Gillian Robertson
Michel Prazeres,Ismail Naurdiev
Damir Ismagulov,Joel Alvarez
Rustam Khabilov,Diego Ferreira
Jimmie Rivera,Aljamain Sterling
Alex Caceres,Kron Gracie
Andre Fili,Myles Jury
Cortney Casey,Cynthia Calvillo
James Vick,Paul Felder
Francis Ngannou,Cain Velasquez
Vicente Luque,Bryan Barberena
Benito Lopez,Manny Bermudez
Ashlee Evans-Smith,Andrea Lee
Aleksandra Albu,Emily Whitmire
Scott Holtzman,Nik Lentz
Renan Barao,Luke Sanders
Rani Yahya,Ricky Simon
Shane Young,Austin Arnett
Montana De La Rosa,Nadia Kassem
Jimmy Crute,Sam Alvey
Lando Vannata,Marcos Mariano
Devonte Smith,Dong Hyun Ma
Israel Adesanya,Anderson Silva
Kai Kara-France,Raulian Paiva
Callan Potter,Jalin Turner
Wuliji Buren,Jonathan Martinez
Teruto Ishihara,Kyung Ho Kang
Demian Maia,Lyman Good
Charles Oliveira,David Teymur
Raphael Assuncao,Marlon Moraes
Johnny Walker,Justin Ledet
Mara Romero Borella,Taila Santos
Jose Aldo,Renato Moicano
Markus Perez,Anthony Hernandez
Livinha Souza,Sarah Frota
Junior Albini,Jairzinho Rozenstruik
Thiago Alves,Max Griffin
Ricardo Ramos,Said Nurmagomedov
Geraldo de Freitas,Felipe Colares
Bibulatov Magomed,Rogerio Bontorin
Henry Cejudo,TJ Dillashaw
Alexander Hernandez,Donald Cerrone
Joanne Calderwood,Ariane Lipski
Gregor Gillespie,Yancy Medeiros
Glover Teixeira,Karl Roberson
Joseph Benavidez,Dustin Ortiz
Greg Hardy,Allen Crowder
Paige VanZant,Rachael Ostovich
Alonzo Menifield,Vinicius Moreira
Cory Sandhagen,Mario Bautista
Dennis Bermudez,Te Edwards
Kyle Stewart,Chance Rencountre
Belal Muhammad,Geoff Neal
Douglas Silva de Andrade,Petr Yan
Chad Mendes,Alexander Volkanovski
Jon Jones,Alexander Gustafsson
Cristiane Justino,Amanda Nunes
Carlos Condit,Michael Chiesa
Cat Zingano,Megan Anderson
Ilir Latifi,Corey Anderson
Andrei Arlovski,Walt Harris
Nathaniel Wood,Andre Ewell
Uriah Hall,Bevon Lewis
BJ Penn,Ryan Hall
Curtis Millender,Siyar Bahadurzada
Brian Kelleher,Montel Jackson
Zak Ottow,Dwight Grant
Jim Miller,Charles Oliveira
Kevin Lee,Al Iaquinta
Bobby Green,Drakkar Klose
Edson Barboza,Dan Hooker
Rob Font,Sergio Pettis
Gerald Meerschaert,Jack Hermansson
Jared Gordon,Joaquim Silva
Trevor Smith,Zak Cummings
Dan Ige,Jordan Griffin
Adam Milstead,Mike Rodriguez
Chris de la Rocha,Juan Adams
Alex Oliveira,Gunnar Nelson
Claudia Gadelha,Nina Ansaroff
Olivier Aubin-Mercier,Gilbert Burns
Valentina Shevchenko,Joanna Jedrzejczyk
Katlyn Chookagian,Jessica Eye
Jimi Manuwa,Thiago Santos
Hakeem Dawodu,Kyle Bochniak
Elias Theodorou,Eryk Anders
Brad Katona,Matthew Lopez
Diego Ferreira,Kyle Nelson
Max Holloway,Brian Ortega
Devin Clark,Aleksandar Rakic
Chad Laprise,Dhiego Lima
Mark Hunt,Justin Willis
Wilson Reis,Ben Nguyen
Suman Mokhtarian,Sodiq Yusuff
Yushin Okami,Aleksei Kunchenko
Jake Matthews,Anthony Rocco Martin
Jimmy Crute,Paul Craig
Junior Dos Santos,Tai Tuivasa
Mauricio Rua,Tyson Pedro
Alex Gorgees,Damir Ismagulov
Keita Nakamura,Salim Touahri
Elias Garcia,Kai Kara-France
Mizuto Hirota,Christos Giagos
Joseph Benavidez,Alex Perez
Darren Stewart,Edmen Shahbazyan
Juan Espino,Justin Frazier
Rick Glenn,Kevin Aguilar
Ji Yeon Kim,Antonina Shevchenko
Rafael Dos Anjos,Kamaru Usman
Pedro Munhoz,Bryan Caraway
Pannie Kianzad,Macy Chiasson
Roosevelt Roberts,Darrell Horcher
Julija Stoliarenko,Leah Letson
Tim Means,Ricky Rainey
Maurice Greene,Michel Batista
Raoni Barcelos,Chris Gutierrez
Zhang Weili,Jessica Aguilar
Song Kenan,Alex Morono
Alistair Overeem,Sergei Pavlovich
Wu Yanan,Lauren Mueller
Hu Yaozong,Rashad Coulter
Song Yadong,Vince Morales
Li Jingliang,David Zawada
Curtis Blaydes,Francis Ngannou
Kevin Holland,John Phillips
Yan Xiaonan,Syuri Kondo
Su Mudaerji,Louis Smolka
Pingyuan Liu,Martin Day
Michel Prazeres,Bartosz Fabinski
Guido Cannetti,Marlon Vera
Khalil Rountree Jr.,Johnny Walker
Cynthia Calvillo,Poliana Botelho
Cezar Ferreira,Ian Heinisch
Alexandre Pantoja,Yuta Sasaki
Neil Magny,Santiago Ponzinibbio
Ricardo Lamas,Darren Elkins
Devin Powell,Jesus Pinedo
Humberto Bandenay,Austin Arnett
Nad Narimani,Anderson Dos Santos
Laureano Staropoli,Hector Aldana
Maycee Barber,Hannah Cifers
Beneil Dariush,Thiago Moises
Michael Trizano,Luis Pena
Chas Skelly,Bobby Moffett
Raquel Pennington,Germaine de Randamie
Chan Sung Jung,Yair Rodriguez
Ashley Yoder,Amanda Cooper
Donald Cerrone,Mike Perry
Devonte Smith,Julian Erosa
Joseph Morales,Eric Shelton
Davi Ramos,John Gunther
Mark De La Rosa,Joby Sanchez
Jason Knight,Jordan Rinaldi
Karl Roberson,Jack Marshman
David Branch,Jared Cannonier
Daniel Cormier,Derrick Lewis
Derek Brunson,Israel Adesanya
Julio Arce,Sheymon Moraes
Sijara Eubanks,Roxanne Modafferi
Chris Weidman,Jacare Souza
Matt Frevola,Lando Vannata
Lyman Good,Ben Saunders
Shane Burgos,Kurt Holobaugh
Adam Wieczorek,Marcos Rogerio de Lima
Misha Cirkunov,Patrick Cummins
Gian Villante,Ed Herman
Nordine Taleb,Sean Strickland
Alex Garcia,Court McGee
Michael Johnson,Artem Lobov
Volkan Oezdemir,Anthony Smith
Thibault Gouti,Nasrat Haqparast
Andre Soukhamthath,Jonathan Martinez
Calvin Kattar,Chris Fishgold
Sarah Moras,Talita Bernardo
Te Edwards,Don Madge
Stevie Ray,Jessin Ayari
Arjan Bhullar,Marcelo Golm
Sergio Pettis,Jussier Formiga
Vicente Luque,Jalin Turner
Tony Ferguson,Anthony Pettis
Ovince Saint Preux,Dominick Reyes
Michelle Waterson,Felice Herrig
Aspen Ladd,Tonya Evinger
Derrick Lewis,Alexander Volkov
Khabib Nurmagomedov,Conor McGregor
Scott Holtzman,Alan Patrick
Lina Lansberg,Yana Kunitskaya
Ryan LaFlare,Anthony Rocco Martin
Gray Maynard,Nik Lentz
Alex Oliveira,Carlo Pedersoli Jr.
Luis Henrique,Ryan Spann
Charles Oliveira,Christos Giagos
Randa Markos,Marina Rodriguez
Sam Alvey,Rogerio Nogueira
Francisco Trinaldo,Evan Dunham
Thiago Santos,Eryk Anders
Renan Barao,Andre Ewell
Sergio Moraes,Ben Saunders
Mayra Bueno Silva,Gillian Robertson
Augusto Sakai,Chase Sherman
Elizeu Zaleski dos Santos,Luigi Vendramini
Thales Leites,Hector Lombard
Livinha Souza,Alex Chambers
Rustam Khabilov,Kajan Johnson
Andrei Arlovski,Shamil Abdurakhimov
Aleksei Kunchenko,Thiago Alves
Jan Blachowicz,Nikita Krylov
Khalid Murtazaliev,CB Dollaway
Mark Hunt,Aleksei Oleinik
Petr Yan,Jin Soo Son
Mairbek Taisumov,Desmond Green
Magomed Ankalaev,Marcin Prachnio
Adam Yandiev,Jordan Johnson
Ramazan Emeev,Stefan Sekulic
Merab Dvalishvili,Terrion Ware
Jimmie Rivera,John Dodson
Jessica Andrade,Karolina Kowalkiewicz
Zabit Magomedsharipov,Brandon Davis
Aljamain Sterling,Cody Stamann
Abdul Razak Alhassan,Niko Price
Carla Esparza,Tatiana Suarez
Geoff Neal,Frank Camacho
Tyron Woodley,Darren Till
Charles Byrd,Darren Stewart
Jim Miller,Alex White
Irene Aldana,Lucie Pudilova
Diego Sanchez,Craig White
Robert Sanchez,Jarred Brooks
Cortney Casey,Angela Hill
Cory Sandhagen,Iuri Alcantara
John Moraga,Deiveson Figueiredo
Eryk Anders,Tim Williams
James Krause,Warlley Alves
Jake Ellenberger,Bryan Barberena
Justin Gaethje,James Vick
Michael Johnson,Andre Fili
Joanne Calderwood,Kalindra Faria
Andrew Sanchez,Markus Perez
Rani Yahya,Luke Sanders
Mickey Gall,George Sullivan
Drew Dober,Jon Tuck
Thiago Santos,Kevin Holland
TJ Dillashaw,Cody Garbrandt
Ricardo Ramos,Kyung Ho Kang
Polyana Viana,JJ Aldrich
Ricky Simon,Montel Jackson
Cub Swanson,Renato Moicano
Pedro Munhoz,Brett Johns
Demetrious Johnson,Henry Cejudo
Matt Sayles,Sheymon Moraes
Marlon Vera,Wuliji Buren
Alex Perez,Jose Torres
Danielle Taylor,Zhang Weili
Kajan Johnson,Islam Makhachev
Joanna Jedrzejczyk,Tecia Torres
Alexander Hernandez,Olivier Aubin-Mercier
Gadzhimurad Antigulov,Ion Cutelaba
Eddie Alvarez,Dustin Poirier
Jose Aldo,Jeremy Stephens
Hakeem Dawodu,Austin Arnett
Jordan Mein,Alex Morono
Dustin Ortiz,Matheus Nicolau
Randa Markos,Nina Ansaroff
Alexis Davis,Katlyn Chookagian
Devin Powell,Alvaro Herrera Mendoza
John Makdessi,Ross Pearson
Mauricio Rua,Anthony Smith
Glover Teixeira,Corey Anderson
Emil Meek,Bartosz Fabinski
Vitor Miranda,Abu Azaitar
Danny Roberts,David Zawada
Nasrat Haqparast,Marc Diakiese
Nick Hein,Damir Hadzovic
Marcin Tybura,Stefan Struve
Davey Grant,Manny Bermudez
Khalid Taha,Nad Narimani
Justin Ledet,Aleksandar Rakic
Jeremy Kimball,Darko Stosic
Damian Stasiak,Pingyuan Liu
Myles Jury,Chad Mendes
Darren Elkins,Alexander Volkanovski
Randy Brown,Niko Price
Junior Dos Santos,Blagoy Ivanov
Sage Northcutt,Zak Ottow
Cat Zingano,Marion Reneau
Dennis Bermudez,Rick Glenn
Eddie Wineland,Alejandro Perez
Kurt Holobaugh,Raoni Barcelos
Mark De La Rosa,Elias Garcia
Justin Scoggins,Said Nurmagomedov
Jessica Aguilar,Jodie Esquibel
Liz Carmouche,Jennifer Maia
Stipe Miocic,Daniel Cormier
Raphael Assuncao,Rob Font
Lando Vannata,Drakkar Klose
Gokhan Saki,Khalil Rountree Jr.
Uriah Hall,Paulo Costa
Francis Ngannou,Derrick Lewis
Paul Felder,Mike Perry
Michael Chiesa,Anthony Pettis
Dan Hooker,Gilbert Burns
Curtis Millender,Max Griffin
Jamie Moyle,Emily Whitmire
Jay Cucciniello,Brad Katona
Michael Trizano,Joe Giannetti
Brad Tavares,Israel Adesanya
Luis Pena,Richie Smullen
Alessio Di Chirico,Julian Marquez
Montana De La Rosa,Rachael Ostovich
Roxanne Modafferi,Barb Honchak
Alex Caceres,Martin Bravo
John Gunther,Allan Zuniga
Matt Bessette,Steven Peterson
Tyler Diamond,Bryce Mitchell
Gerald Meerschaert,Oskar Piechota
Song Kenan,Hector Aldana
Ovince Saint Preux,Tyson Pedro
Li Jingliang,Daichi Abe
Teruto Ishihara,Petr Yan
Donald Cerrone,Leon Edwards
Jessica-Rose Clark,Jessica Eye
Felipe Arantes,Song Yadong
Rolando Dy,Shane Young
Shinsho Anzai,Jake Matthews
Viviane Pereira,Yan Xiaonan
Jenel Lausa,Yuta Sasaki
Matt Schnell,Naoki Inoue
Ji Yeon Kim,Melinda Fabian
Claudia Gadelha,Carla Esparza
Andrei Arlovski,Tai Tuivasa
Ricardo Lamas,Mirsad Bektic
Rafael Dos Anjos,Colby Covington
Alistair Overeem,Curtis Blaydes
Robert Whittaker,Yoel Romero
CM Punk,Mike Jackson
Holly Holm,Megan Anderson
Rashad Coulter,Chris de la Rocha
Rashad Evans,Anthony Smith
Mike Santiago,Dan Ige
Clay Guida,Charles Oliveira
Joseph Benavidez,Sergio Pettis
Jake Ellenberger,Ben Saunders
Jimmie Rivera,Marlon Moraes
Nik Lentz,David Teymur
Sijara Eubanks,Lauren Murphy
Gian Villante,Sam Alvey
Walt Harris,Daniel Spitz
Julio Arce,Daniel Teymur
Gregor Gillespie,Vinc Pichel
Jarred Brooks,Jose Torres
Desmond Green,Gleison Tibau
Belal Muhammad,Chance Rencountre
Johnny Eduardo,Nathaniel Wood
Neil Magny,Craig White
Jason Knight,Makwan Amirkhani
Lina Lansberg,Gina Mazany
Eric Spicely,Darren Stewart
Stephen Thompson,Darren Till
Arnold Allen,Mads Burnell
Claudio Silva,Nordine Taleb
Daniel Kelly,Tom Breese
Brad Scott,Carlo Pedersoli Jr.
Gillian Robertson,Molly McCann
Elias Theodorou,Trevor Smith
Jared Cannonier,Dominick Reyes
Alexa Grasso,Tatiana Suarez
Diego Rivas,Guido Cannetti
Zak Cummings,Michel Prazeres
Veronica Macedo,Andrea Lee
Demian Maia,Kamaru Usman
Vicente Luque,Chad Laprise
Brandon Moreno,Alexandre Pantoja
Poliana Botelho,Syuri Kondo
Gabriel Benitez,Humberto Bandenay
Enrique Barzola,Brandon Davis
Claudio Puelles,Felipe Silva
Henry Briones,Frankie Saenz
Davi Ramos,Nick Hein
Jacare Souza,Kelvin Gastelum
Amanda Nunes,Raquel Pennington
Cezar Ferreira,Karl Roberson
Mackenzie Dern,Amanda Cooper
John Lineker,Brian Kelleher
Vitor Belfort,Lyoto Machida
Aleksei Oleinik,Junior Albini
Elizeu Zaleski dos Santos,Sean Strickland
Alberto Mina,Ramazan Emeev
Thales Leites,Jack Hermansson
Warlley Alves,Sultan Aliev
Markus Perez,James Bochnovic
Merab Dvalishvili,Ricky Simon
Justin Willis,Chase Sherman
Frankie Edgar,Cub Swanson
David Branch,Thiago Santos
Ryan LaFlare,Alex Garcia
Edson Barboza,Kevin Lee
Jim Miller,Dan Hooker
Aljamain Sterling,Brett Johns
Siyar Bahadurzada,Luan Chagas
Corey Anderson,Patrick Cummins
Anthony Rocco Martin,Keita Nakamura
Michelle Waterson,Cortney Casey
Dustin Poirier,Justin Gaethje
Wilson Reis,John Moraga
Israel Adesanya,Marvin Vettori
Krzysztof Jotko,Brad Tavares
Carlos Condit,Alex Oliveira
Muslim Salikhov,Ricky Rainey
Tim Boetsch,Antonio Carlos Junior
Gilbert Burns,Dan Moret
Shana Dobson,Lauren Mueller
Matthew Lopez,Alejandro Perez
Dhiego Lima,Yushin Okami
Luke Sanders,Patrick Williams
Arjan Bhullar,Adam Wieczorek
Zabit Magomedsharipov,Kyle Bochniak
Karolina Kowalkiewicz,Felice Herrig
Renato Moicano,Calvin Kattar
Joe Lauzon,Chris Gruetzemacher
Rose Namajunas,Joanna Jedrzejczyk
Khabib Nurmagomedov,Al Iaquinta
Bec Rawlings,Ashlee Evans-Smith
Evan Dunham,Olivier Aubin-Mercier
Devin Clark,Mike Rodriguez
Danny Roberts,Oliver Enkamp
John Phillips,Charles Byrd
Tom Duquesnoy,Terrion Ware
Paul Craig,Magomed Ankalaev
Leon Edwards,Peter Sobotta
Jimi Manuwa,Jan Blachowicz
Fabricio Werdum,Alexander Volkov
Danny Henry,Hakeem Dawodu
Stevie Ray,Kajan Johnson
Mark Godbeer,Dmitry Sosnovskiy
Stefan Struve,Andrei Arlovski
Ashley Yoder,Mackenzie Dern
Frankie Edgar,Brian Ortega
Cristiane Justino,Yana Kunitskaya
Beneil Dariush,Alexander Hernandez
Cat Zingano,Ketlen Vieira
John Dodson,Pedro Munhoz
Sean O'Malley,Andre Soukhamthath
Mike Pyle,Zak Ottow
CB Dollaway,Hector Lombard
Bryan Caraway,Cody Stamann
Jordan Johnson,Adam Milstead
Jessica Andrade,Tecia Torres
Josh Emmett,Jeremy Stephens
Renan Barao,Brian Kelleher
Sara McMann,Marion Reneau
Ovince Saint Preux,Ilir Latifi
Mike Perry,Max Griffin
Ben Saunders,Alan Jouban
Maryna Moroz,Angela Hill
Albert Morales,Manny Bermudez
Sam Alvey,Marcin Prachnio
Rani Yahya,Russell Doane
Eric Shelton,Alex Perez
Geoff Neal,Brian Camozzi
Steven Peterson,Brandon Davis
Derrick Lewis,Marcin Tybura
Thiago Alves,Curtis Millender
Jared Gordon,Diego Ferreira
Sage Northcutt,Thibault Gouti
James Vick,Francisco Trinaldo
Donald Cerrone,Yancy Medeiros
Oskar Piechota,Tim Williams
Robert Sanchez,Joby Sanchez
Joshua Burkman,Alex Morono
Sarah Moras,Lucie Pudilova
Alexander Volkanovski,Jeremy Kennedy
Rob Wilkinson,Israel Adesanya
Mark Hunt,Curtis Blaydes
Tyson Pedro,Saparbeg Safarov
Damien Brown,Dong Hyun Ma
Tai Tuivasa,Cyril Asker
Yoel Romero,Luke Rockhold
Jake Matthews,Li Jingliang
Luke Jumeau,Daichi Abe
Ross Pearson,Mizuto Hirota
Teruto Ishihara,Jose Quinonez
Jussier Formiga,Ben Nguyen
Timothy Johnson,Marcelo Golm
Michel Prazeres,Desmond Green
Thiago Santos,Anthony Smith
Valentina Shevchenko,Priscila Cachoeira
Sergio Moraes,Tim Means
Douglas Silva de Andrade,Marlon Vera
Alan Patrick,Damir Hadzovic
Lyoto Machida,Eryk Anders
Maia Stevenson,Polyana Viana
Iuri Alcantara,Joe Soto
Deiveson Figueiredo,Joseph Morales
Jordan Rinaldi,Gregor Gillespie
Jacare Souza,Derek Brunson
Mirsad Bektic,Godofredo Pepey
Dennis Bermudez,Andre Fili
Katlyn Chookagian,Mara Romero Borella
Drew Dober,Frank Camacho
Randa Markos,Juliana Lima
Erik Koch,Bobby Green
Niko Price,George Sullivan
Vinc Pichel,Joaquim Silva
Justine Kish,Ji Yeon Kim
Austin Arnett,Cory Sandhagen
Gian Villante,Francimar Barroso
Calvin Kattar,Shane Burgos
Stipe Miocic,Francis Ngannou
Dustin Ortiz,Alexandre Pantoja
Daniel Cormier,Volkan Oezdemir
Thomas Almeida,Rob Font
Kyle Bochniak,Brandon Davis
Sabah Homasi,Abdul Razak Alhassan
Matt Bessette,Enrique Barzola
Dan Ige,Julio Arce
Islam Makhachev,Gleison Tibau
Matt Frevola,Marco Polo Reyes
Kyung Ho Kang,Guido Cannetti
James Krause,Alex White
Darren Elkins,Michael Johnson
Kamaru Usman,Emil Meek
Jeremy Stephens,Dooho Choi
Paige VanZant,Jessica-Rose Clark
Talita Bernardo,Irene Aldana
Mads Burnell,Mike Santiago
Danielle Taylor,JJ Aldrich
Kalindra Faria,Jessica Eye
Khabib Nurmagomedov,Edson Barboza
Cristiane Justino,Holly Holm
Dan Hooker,Marc Diakiese
Marvin Vettori,Omari Akhmedov
